Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2015-01-02,24.320432662963867,119.26302337646484,79.86871337890625,113.6572036743164,69.7741928100586,58.81854248046875,20.05514144897461,72.65835571289062,86.31001281738281,,158.7777862548828,81.37755584716797,77.29739379882812,99.99212646484375,27.896461486816406,78.681396484375,47.17426300048828,30.437496185302734,71.90367126464844,97.44242858886719,39.882362365722656,40.07212829589844,42.140316009521484,67.44158935546875,83.77883911132812,86.1926040649414,61.67286682128906,27.467037200927734,51.80194091796875,23.37729263305664
2015-01-05,23.635284423828125,117.84584045410156,77.75653076171875,112.87005615234375,66.09109497070312,57.75614929199219,19.6556396484375,69.75405883789062,85.0487289428711,,153.82034301757812,79.67020416259766,75.82438659667969,98.41877746582031,27.581893920898438,78.13189697265625,45.70973587036133,30.437496185302734,71.10956573486328,95.24481201171875,40.475120544433594,39.70363998413086,41.461849212646484,67.12092590332031,82.7697525024414,84.77290344238281,60.31153106689453,27.23893165588379,50.779544830322266,23.309253692626953
2015-01-06,23.637508392333984,114.04915618896484,76.09938049316406,111.5406494140625,65.66583251953125,56.79304885864258,19.64837074279785,69.7217788696289,84.59762573242188,,150.7086639404297,79.42628479003906,75.64698028564453,96.2962646484375,27.067848205566406,77.74797058105469,44.52452850341797,30.66863441467285,71.24063110351562,94.22917938232422,42.06510543823242,39.12089157104492,41.217960357666016,66.815185546875,82.03077697753906,84.60182189941406,59.92289352416992,27.51382827758789,50.90904998779297,23.488874435424805
2015-01-07,23.968963623046875,118.03230285644531,77.76139831542969,113.27237701416016,66.68343353271484,56.52497482299805,19.82996368408203,69.6637191772461,85.4630126953125,,152.95462036132812,82.14860534667969,76.19456481933594,95.66693878173828,27.635608673095703,79.46430969238281,44.59246826171875,31.051456451416016,72.48194885253906,94.91222381591797,42.9647102355957,39.6179313659668,42.069374084472656,67.1656723022461,83.42922973632812,85.46563720703125,60.72576141357422,27.33627700805664,52.210899353027344,24.112085342407227
2015-01-08,24.889902114868164,117.60710144042969,78.86368560791016,115.2752456665039,67.36690521240234,58.17316436767578,19.982507705688477,71.25785827636719,86.34684753417969,,155.39662170410156,83.966064453125,77.58274841308594,97.7462387084961,28.149639129638672,80.08914947509766,45.58893966674805,31.427038192749023,72.75179290771484,97.18701934814453,43.82943344116211,40.78342819213867,43.04050827026367,67.93375396728516,85.16136169433594,89.54519653320312,61.54022979736328,27.92218780517578,52.85842514038086,24.621002197265625
2015-01-09,24.91659927368164,116.16009521484375,77.86473846435547,115.04786682128906,66.56193542480469,57.74622344970703,20.185894012451172,69.83795928955078,86.77033233642578,,153.0117950439453,82.52623748779297,76.29484558105469,98.17195129394531,28.203344345092773,78.99758911132812,44.796302795410156,31.08034324645996,71.86510467529297,95.99320983886719,43.627193450927734,40.44062042236328,42.56602478027344,67.29988861083984,84.08871459960938,88.7070541381836,60.62800979614258,27.673616409301758,51.57701873779297,24.31619644165039
2015-01-12,24.302635192871094,116.52557373046875,77.0724868774414,114.46187591552734,65.98477935791016,57.31927490234375,20.374752044677734,68.33421325683594,86.96366882324219,,151.149658203125,82.15645599365234,75.92462921142578,96.52456665039062,28.080595016479492,78.7265853881836,44.41128921508789,30.79864501953125,71.71092987060547,95.47052001953125,43.44588851928711,39.93501663208008,42.50838851928711,67.05380249023438,83.588134765625,87.7064208984375,60.509315490722656,27.863004684448242,51.597469329833984,24.498531341552734
2015-01-13,24.518409729003906,115.71994018554688,76.8399887084961,114.72425842285156,65.58988189697266,57.55757522583008,20.41107177734375,67.24994659423828,87.63573455810547,,151.0353546142578,81.61358642578125,76.46448516845703,96.75283813476562,28.003875732421875,78.86209106445312,44.41884231567383,30.791412353515625,71.57213592529297,95.39927673339844,43.369178771972656,39.72935104370117,42.131446838378906,67.33717346191406,83.71526336669922,88.151123046875,60.68619155883789,27.92218780517578,51.297569274902344,24.305307388305664
2015-01-14,24.424985885620117,115.73491668701172,74.97989654541016,114.03333282470703,65.36209106445312,56.84269332885742,20.280315399169922,67.05634307861328,86.75192260742188,,147.19677734375,80.75596618652344,76.1097412109375,96.12969207763672,27.88878059387207,78.28995513916016,42.886375427246094,30.740869522094727,70.57754516601562,94.93597412109375,43.68299102783203,39.38654708862305,41.55497741699219,67.10599517822266,82.4519271850586,88.37347412109375,59.471435546875,27.79789924621582,51.11351776123047,23.570518493652344
2015-01-15,23.762088775634766,113.31820678710938,73.95513916015625,113.82339477539062,64.55814361572266,54.717918395996094,19.909866333007812,66.26248931884766,86.8624038696289,,145.7756805419922,79.47351837158203,74.8912582397461,95.37073516845703,27.766029357910156,77.15326690673828,41.5124397277832,30.610862731933594,70.4542007446289,94.82906341552734,43.152992248535156,38.9752082824707,41.15587615966797,67.00904083251953,82.80152893066406,89.33993530273438,58.90596389770508,27.874841690063477,50.97038650512695,23.780071258544922
2015-01-16,23.57744598388672,118.17401885986328,74.09290313720703,114.38314819335938,64.20594024658203,56.237037658691406,20.105989456176758,67.84373474121094,87.62652587890625,,144.74658203125,81.92042541503906,75.74727630615234,96.95645904541016,27.965503692626953,78.32008361816406,42.222076416015625,30.719194412231445,70.53900146484375,96.21888732910156,43.95497512817383,39.62651062011719,41.23569869995117,68.04560089111328,84.65287017822266,90.4603271484375,59.32948303222656,28.40155601501465,51.8223876953125,23.614057540893555
