Date,AAPL,AMZN,BAC,GM,GOOG,JNJ,JPM,META,MSFT,NKE,T,TSLA
2015-01-02,24.288578033447266,15.425999641418457,14.356868743896484,27.022438049316406,26.014022827148438,78.01262664794922,47.17425537109375,78.02197265625,39.99868392944336,41.862117767333984,11.901094436645508,14.620667457580566
2015-01-05,23.604333877563477,15.10949993133545,13.939803123474121,26.626876831054688,25.471742630004883,77.4677505493164,45.70973587036133,76.76883697509766,39.630882263183594,41.18814468383789,11.788650512695312,14.005999565124512
2015-01-06,23.606550216674805,14.76449966430664,13.522727966308594,27.030193328857422,24.88138198852539,77.08708953857422,44.524532318115234,75.73451232910156,39.0492057800293,40.94586181640625,11.80622386932373,14.085332870483398
2015-01-07,23.93757438659668,14.920999526977539,13.586894989013672,27.79805564880371,24.838756561279297,78.78884887695312,44.59246826171875,75.73451232910156,39.54533004760742,41.79164123535156,11.875053405761719,14.063332557678223
2015-01-08,24.85730743408203,15.02299976348877,13.867613792419434,28.07728385925293,24.917072296142578,79.40836334228516,45.588951110839844,77.75344848632812,40.70869064331055,42.756370544433594,11.993202209472656,14.041333198547363
2015-01-09,24.883960723876953,14.846500396728516,13.618977546691895,27.604148864746094,24.594383239746094,78.32611083984375,44.796302795410156,77.31584167480469,40.36652755737305,42.28501892089844,11.95739459991455,13.77733325958252
2015-01-12,24.270811080932617,14.570500373840332,13.378357887268066,27.79805564880371,24.414945602416992,78.05741882324219,44.411285400390625,76.30140686035156,39.86183547973633,42.22774887084961,11.989619255065918,13.480667114257812
2015-01-13,24.48630142211914,14.737000465393066,13.193882942199707,27.340438842773438,24.594877243041992,78.19178771972656,44.41884994506836,76.03287506103516,39.65654754638672,41.853309631347656,11.989619255065918,13.616666793823242
2015-01-14,24.39299774169922,14.66349983215332,12.865039825439453,26.603607177734375,24.827356338500977,77.62449645996094,42.886383056640625,75.86380767822266,39.31437683105469,41.28064727783203,11.932340621948242,12.845999717712402
2015-01-15,23.730960845947266,14.34749984741211,12.191311836242676,25.928823471069336,24.872955322265625,76.49744415283203,41.5124397277832,73.6459732055664,38.90379333496094,40.884185791015625,11.90727710723877,12.791333198547363
2015-01-16,23.546573638916016,14.536999702453613,12.335683822631836,26.122730255126953,25.184741973876953,77.65435791015625,42.22206115722656,74.76981353759766,39.553897857666016,40.96347427368164,12.100604057312012,12.871333122253418
2015-01-20,24.153059005737305,14.472000122070312,12.239433288574219,26.316631317138672,25.126251220703125,75.601806640625,42.05597686767578,75.82402801513672,39.68221664428711,41.23658752441406,12.154300689697266,12.795332908630371
2015-01-21,24.33745002746582,14.862500190734863,12.359740257263184,26.285606384277344,25.67844581604004,76.05707550048828,42.19186019897461,76.3212890625,39.2801628112793,41.192535400390625,12.172204971313477,13.104666709899902
2015-01-22,24.97060775756836,15.515999794006348,12.905141830444336,26.23130989074707,26.488887786865234,77.44537353515625,43.47520065307617,77.2263412475586,40.315208435058594,42.223358154296875,12.097021102905273,13.441332817077637
2015-01-23,25.099458694458008,15.619500160217285,12.616400718688965,26.177017211914062,26.76448631286621,76.28099822998047,42.78823471069336,77.40534973144531,40.35797119140625,42.35990524291992,11.946656227111816,13.419333457946777
2015-01-26,25.126121520996094,15.482999801635742,12.712650299072266,26.13824462890625,26.529531478881836,76.32579040527344,42.85618209838867,77.0771484375,40.21256637573242,42.4436149597168,11.878636360168457,13.770000457763672
2015-01-27,24.24637222290039,15.337499618530273,12.53619384765625,25.921062469482422,25.707691192626953,76.19890594482422,42.425880432128906,75.36652374267578,36.491539001464844,41.628658294677734,11.74617862701416,13.732000350952148
2015-01-28,25.617088317871094,15.195500373840332,12.191311836242676,25.471208572387695,25.27991485595703,75.74359130859375,41.331260681152344,75.82402801513672,35.23408889770508,41.104427337646484,11.699634552001953,13.291333198547363
2015-01-29,26.41463279724121,15.58899974822998,12.375782012939453,25.719404220581055,25.3126277923584,76.41532897949219,42.02577590942383,77.57442474365234,35.93553161621094,41.79164123535156,11.799880027770996,13.680000305175781
2015-01-30,26.028087615966797,17.726499557495117,12.151205062866211,25.300569534301758,26.495332717895508,74.7434310913086,41.05194854736328,75.49583435058594,34.5583381652832,40.63748550415039,11.785557746887207,13.573332786560059
2015-02-02,26.35465431213379,18.223499298095703,12.399846076965332,25.680620193481445,26.195938110351562,75.25845336914062,41.87480163574219,74.58084869384766,35.31108474731445,40.49211120605469,12.01468276977539,14.062666893005371
2015-02-03,26.359100341796875,18.177499771118164,12.744729995727539,26.355409622192383,26.233610153198242,76.47505950927734,42.81843566894531,74.98860168457031,35.58481979370117,41.12207794189453,12.293925285339355,14.557332992553711
2015-02-04,26.561260223388672,18.237499237060547,12.664525985717773,27.790294647216797,25.91240692138672,75.65403747558594,42.561763763427734,75.21734619140625,35.79011535644531,40.76523971557617,12.318984985351562,14.569999694824219
2015-02-05,26.750839233398438,18.694499969482422,12.808894157409668,28.11605453491211,26.151329040527344,76.47505950927734,42.85618209838867,75.19745635986328,36.31190490722656,41.117652893066406,12.365522384643555,14.732666969299316
2015-02-06,26.525575637817383,18.714000701904297,13.225966453552246,27.922155380249023,26.320852279663086,75.4599609375,43.70167922973633,74.06368255615234,36.27769470214844,40.43484878540039,12.483670234680176,14.490667343139648
2015-02-09,26.701772689819336,18.527999877929688,13.113679885864258,27.922155380249023,26.163719177246094,74.47474670410156,43.64883041381836,74.03384399414062,36.23493194580078,40.1617431640625,12.401329040527344,14.498666763305664
